DATASOURCE,CREATIONUS,DATECREATE,DATEMODIFI,LASTUSER,BUILDINGID,BUILDINGNO,COMPOUNDNA,ARABICNAME,ENGLISHNAM,NOOFFLOOR,HEIGHT,CONSTRUCTI,DESCRIPTIO,DRAWINGNO,BRANCHES,BuildingAr,ORIG_FID,Shape_X,Shape_Y
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,370,30,مركز اللغة الإنجليزية,مركز اللغة الإنجليزية القديم,Old English language center,2,0.000000000000000,,شطر الطلاب,KAAUMasterPlan.dwg,السليمانية,3507,1075,39.251117948671684,21.487748247715750
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,213,85,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV4Type3.dwg,السليمانية,384,1077,39.257124538083339,21.490446099075029
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,226,79,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV3Type2.dwg,السليمانية,368,1078,39.258110195178787,21.490488614612620
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,107,40.,فصول دراسية,فصول دراسية,Classroom,2,0.000000000000000,,شطر الطلاب,ClassroomBuilding40.dwg,السليمانية,1259,1079,39.248577184178878,21.486940285340758
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,310,205,محطة معالجة مياه الصرف الصحي,محطة معالجة مياه الصرف الصحي,Sewer treatment,1,0.000000000000000,, ,WasteWaterSystemSurveyour.dwg,السليمانية,200,1081,39.238344186703358,21.488019250270963
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,391,-1,الجوالة 2,الجوالة 2,Inspection 2,1,0.000000000000000,, ,AlKashafaBuilding.dwg,السليمانية,17,1084,39.257580718299181,21.501461322121877
 , ,,, ,0,12,المربع الاكاديمي,فصول دراسية,Class Rooms,0,0.000000000000000,,شطر الطلاب, ,السليمانية,1630,1085,39.247309242831506,21.493713258493845
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,19,10MMC,المركز الطبي,كلية الطب مكاتب اعضاء هيئة التدريس,Medicine college office,4,0.000000000000000,,شطر الطلاب,MenMedicalComplexFloors.dwg,السليمانية,3047,1086,39.235954419455943,21.496507196460207
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,326,211,محطة كهرباء رئيسية,محطة كهرباء رئيسية,Main electriciy station,-1,0.000000000000000,, ,KAAUMasterPlan.dwg,السليمانية,59,1087,39.259161263321417,21.502658516048580
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,-1,-1,حمامات,حمامات,Toilets,1,0.000000000000000,,Closed,MasterPlanUpdated.dwg,السليمانية,120,1089,39.244796429037976,21.498451834592306
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,399,210,المختبر,المختبر,Laboratory,1,0.000000000000000,, ,LabBuilding.dwg,السليمانية,512,1093,39.238242603359900,21.499372213246673
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,278,42,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV2Type1.dwg,السليمانية,250,1094,39.256574138526162,21.487430885319675
